num_nodes,num_broadcasts,avg_mean_phase_diff_after_synchronization,avg_max_phase_diff_after_synchronization,time_until_synchronization_human_readable,rng_seed,ms_prob
50,211,0.29,1.38,789.9,1715992541148160000,1.0
50,208,0.28,1.35,581.1,1715992541154674000,1.0
50,226,0.31,1.2,1347.2,1715992541156869000,1.0
50,234,0.39,1.54,887.5,1715992541151515000,1.0
50,204,0.33,1.16,710.4,1715992541153947000,1.0
50,216,0.25,1.23,820.8,171599254116526000,1.00
50,213,0.49,1.87,789.6,1715992555786926000,1.0
50,205,0.27,0.99,954.2,171599255598825000,1.00
50,216,0.28,1.17,1272.4,1715992556791675000,1.0
50,232,0.37,1.34,869.7,1715992555978831000,1.0
50,219,0.34,1.54,825.8,1715992556905539000,1.0
50,227,0.3,1.23,691.2,1715992556955869000,1.0
50,232,0.38,1.42,872.8,1715992570190653000,1.0
50,212,0.35,1.33,708.7,1715992570040445000,1.0
50,209,0.24,0.87,586.0,1715992570484334000,1.0
50,214,0.44,1.96,476.2,1715992570407045000,1.0
50,219,0.26,1.36,682.6,1715992570571486000,1.0
50,192,0.3,1.22,1417.6,171599257057612000,1.00
50,210,0.26,1.04,1081.9,1715992584452598000,1.0
50,236,0.38,1.42,1154.3,1715992584452402000,1.0
50,232,0.38,1.43,669.7,1715992585032441000,1.0
50,227,0.31,1.23,791.5,1715992584994404000,1.0
50,210,0.27,1.03,887.0,1715992585135938000,1.0
50,224,0.31,1.09,821.6,1715992585221269000,1.0
50,242,0.41,2.36,1084.8,1715992595140992000,1.0
50,215,0.25,1.05,680.2,1715992595148231000,1.0
50,223,0.32,1.3,1185.3,1715992595752383000,1.0
50,239,0.39,1.52,970.4,1715992595748054000,1.0
50,243,0.31,1.21,739.2,1715992595951873000,1.0
50,224,0.54,1.97,957.5,171599259604846000,1.00
50,215,0.29,1.05,552.5,1715992608847443000,1.0
50,226,0.33,1.16,663.7,1715992608914692000,1.0
50,232,0.38,1.57,686.6,1715992609444161000,1.0
50,227,0.3,1.15,1542.0,1715992609370252000,1.0
50,201,0.42,1.49,1086.7,1715992609481734000,1.0
50,248,0.31,1.14,1302.8,1715992609335905000,1.0
50,215,0.31,1.26,878.4,1715992619459455000,1.0
50,220,0.33,1.47,707.7,1715992619439254000,1.0
50,204,0.27,1.2,795.3,1715992620031008000,1.0
50,231,0.37,1.23,587.5,1715992620017524000,1.0
50,216,0.25,1.22,664.5,1715992620152098000,1.0
50,211,0.28,1.18,1117.6,1715992620152938000,1.0
50,202,0.34,1.37,586.4,1715992629215549000,1.0
50,219,0.33,1.45,890.1,1715992629314877000,1.0
50,223,0.51,1.98,773.5,1715992629884981000,1.0
50,239,0.36,1.64,697.6,1715992630108233000,1.0
50,227,0.42,1.35,1091.4,1715992629977309000,1.0
50,223,0.25,1.0,733.0,1715992630166023000,1.0
50,214,0.26,1.02,775.0,1715992640804236000,1.0
50,227,0.38,1.49,840.2,1715992640751678000,1.0
50,235,0.34,1.94,763.0,1715992641285894000,1.0
50,213,0.51,1.52,777.8,1715992641668271000,1.0
50,191,0.3,1.12,1149.2,1715992641734734000,1.0
50,218,0.3,1.15,1083.9,1715992641694167000,1.0
50,220,0.32,1.26,1006.2,171599265581317000,1.00
50,205,0.23,0.98,987.0,1715992656781859000,1.0
50,209,0.4,1.2,1007.8,1715992655793317000,1.0
50,238,0.34,1.92,817.5,1715992657429292000,1.0
50,222,0.47,1.97,559.2,1715992657476475000,1.0
50,220,0.33,1.22,695.0,1715992657682392000,1.0
50,222,0.31,1.32,717.2,1715992674065472000,1.0
50,222,0.34,1.27,1186.4,1715992674089025000,1.0
50,226,0.25,0.97,1243.7,1715992673948343000,1.0
50,219,0.23,0.85,789.0,1715992675439466000,1.0
50,231,0.48,1.81,522.7,1715992675314451000,1.0
50,227,0.33,1.46,885.8,1715992675251101000,1.0
50,219,0.26,0.95,786.1,1715992691696216000,1.0
50,225,0.23,1.17,858.3,1715992691712775000,1.0
50,211,0.31,1.42,1685.0,1715992691697073000,1.0
50,224,0.35,1.15,816.4,1715992693266171000,1.0
50,229,0.36,1.59,683.1,1715992693140623000,1.0
50,228,0.37,1.51,596.9,1715992693205749000,1.0
50,207,0.29,1.01,869.9,1715992715226984000,1.0
50,208,0.18,0.88,721.9,1715992715363704000,1.0
50,211,0.38,1.56,587.7,1715992715424901000,1.0
50,208,0.38,1.22,779.5,1715992715938185000,1.0
50,234,0.31,2.04,922.9,1715992715964178000,1.0
50,204,0.25,1.12,816.7,171599271618951000,1.00
50,228,0.43,2.03,760.6,1715992727630824000,1.0
50,221,0.43,1.54,691.8,1715992727930782000,1.0
50,251,0.61,2.42,1225.9,171599272778315000,1.00
50,242,0.46,1.54,821.2,1715992728929532000,1.0
50,195,0.24,0.96,673.7,1715992728653274000,1.0
50,225,0.39,2.25,863.8,1715992728657867000,1.0
50,226,0.45,3.77,787.3,1715992741050532000,1.0
50,230,0.23,0.92,689.6,171599274118126000,1.00
50,248,0.41,1.5,782.1,1715992741474803000,1.0
50,218,0.35,1.11,885.5,1715992742400317000,1.0
50,219,0.27,1.19,911.3,1715992742510557000,1.0
50,234,0.27,1.09,677.4,171599274251059000,1.00
50,204,0.29,1.14,880.3,1715992752378143000,1.0
50,247,0.36,1.16,784.5,1715992752365176000,1.0
50,233,0.33,1.7,1081.5,1715992752663116000,1.0
50,265,0.32,1.37,993.6,1715992753475479000,1.0
50,241,0.47,1.82,986.4,1715992753638854000,1.0
50,215,0.33,1.57,780.3,1715992753698576000,1.0
50,211,0.29,1.1,685.0,1715992764638828000,1.0
50,232,0.41,1.71,987.3,1715992764636915000,1.0
50,231,0.29,1.04,889.8,1715992765351279000,1.0
50,237,0.32,1.2,970.6,1715992766258834000,1.0
50,203,0.25,0.98,789.9,1715993707402568000,1.0
